isbn,sales_date,sales_qty,sales_amt
9791158391348,20240102,11,193050
9791158391348,20240103,1,18900
9791158391348,20240108,1,17550
9791158391348,20240109,2,35100
9791158391348,20240112,1,17550
9791158391348,20240116,3,52650
9791158391348,20240118,3,52650
9791158391348,20240119,1,17550
9791158391348,20240124,1,17550
9791158391348,20240202,1,17550
9791158391348,20240221,1,17550
9791158391348,20240304,1,18900
9791158391348,20240318,1,18900
9791158391348,20240325,2,37800
9791158391348,20240408,1,18900
9791158391348,20240411,2,37800
9791158391348,20240412,1,18900
9791158391348,20240603,1,18900
9791158391348,20240614,2,37800
9791158391348,20240618,2,37800
9791158391348,20240628,1,17550
9791158391348,20240711,1,18900
9791158391348,20240725,2,35100
9791158391348,20240729,6,113400
9791158391348,20250116,1,17550
9791158391348,20250123,1,17550
9791158391348,20250218,2,35100
9791158391348,20250226,2,35100
9791158391348,20250304,1,17550
9791158391348,20250307,1,17550
9791158391348,20250321,1,17550
9791158391348,20250403,1,17550
9791158391348,20250409,12,226800
9791158391348,20250416,2,35100
9791158391348,20250507,1,17550
9791158391348,20250509,2,37800
9791158391348,20250512,2,37800
9791158391348,20250514,1,17550
9791158391348,20250515,3,52650
9791158391348,20250516,2,37800
9791158391348,20250519,2,35100
9791158391348,20250522,1,18900
9791158391348,20250612,1,18900
9791158391348,20250627,2,37800
9791158391348,20250630,1,18900
9791158391348,20250701,3,56700
9791158392383,20240102,28,561600
9791158392383,20240104,7,145600
9791158392383,20240109,1,22400
9791158392383,20240110,2,44800
9791158392383,20240111,5,104000
9791158392383,20240123,11,228800
9791158392383,20240126,1,22400
9791158392383,20240129,1,20800
9791158392383,20240202,19,403200
9791158392383,20240213,44,896000
9791158392383,20240221,10,224000
9791158392383,20240223,2,43200
9791158392383,20240312,22,468800
9791158392383,20240320,1,20800
9791158392383,20240327,21,448000
9791158392383,20240329,1,20800
9791158392383,20240412,2,41600
9791158392383,20240429,53,1091200
9791158392383,20240502,1,20800
9791158392383,20240508,30,627200
9791158392383,20240513,1,20800
9791158392383,20240516,1,20800
9791158392383,20240523,84,1836800
9791158392383,20240528,10,224000
9791158392383,20240529,8,179200
9791158392383,20240531,1,20800
9791158392383,20240611,31,672000
9791158392383,20240625,17,353600
9791158392383,20240703,13,267200
9791158392383,20240705,1,20800
9791158392383,20240710,14,291200
9791158392383,20240722,11,224000
9791158392383,20240806,9,187200
9791158392383,20240819,32,694400
9791158392383,20240820,1,22400
9791158392383,20240821,16,336000
9791158392383,20240826,9,179200
9791158392383,20240909,30,643200
9791158392383,20240910,9,198400
9791158392383,20240911,4,86400
9791158392383,20240919,2,44800
9791158392383,20240924,1,20800
9791158392383,20240926,2,44800
9791158392383,20241002,1,22400
9791158392383,20241007,1,20800
9791158392383,20241014,1,22400
9791158392383,20241017,15,313600
9791158392383,20241025,17,334400
9791158392383,20241122,1,20800
9791158392383,20241209,1,22400
9791158392383,20241213,19,403200
9791158392383,20241220,8,179200
9791158392383,20241223,1,22400
9791158392383,20241227,2,43200
9791158392383,20241230,1,22400
9791158392383,20241231,21,446400
9791158392383,20250106,1,22400
9791158392383,20250108,17,380800
9791158392383,20250109,1,22400
9791158392383,20250114,13,268800
9791158392383,20250120,1,22400
9791158392383,20250131,1,22400
9791158392383,20250204,2,44800
9791158392383,20250210,2,41600
9791158392383,20250211,5,89600
9791158392383,20250221,2,44800
9791158392383,20250227,8,166400
9791158392383,20250306,1,20800
9791158392383,20250307,9,201600
9791158392383,20250310,2,43200
9791158392383,20250318,1,20800
9791158392383,20250319,24,534400
9791158392383,20250320,1,20800
9791158392383,20250321,2,41600
9791158392383,20250401,1,22400
9791158392383,20250409,14,313600
9791158392383,20250417,1,20800
9791158392383,20250424,10,208000
9791158392383,20250507,20,395200
9791158392383,20250604,2,41600
9791158392383,20250605,1,20800
9791158392383,20250617,17,358400
9791158392383,20250618,16,336000
9791158392383,20250619,1,22400
9791158392666,20240213,2,16900
9791158392666,20240216,1,8450
9791158392666,20240304,1,9100
9791158392666,20240314,1,8450
9791158392666,20240408,1,8450
9791158392666,20240422,3,25350
9791158392666,20240424,2,16900
9791158392666,20240508,2,16900
9791158392666,20240509,1,8450
9791158392666,20240516,1,9100
9791158392666,20240524,1,8450
9791158392666,20240529,1,9100
9791158392666,20240531,1,8450
9791158392666,20240605,2,18200
9791158392666,20240613,1,9100
9791158392666,20240625,1,9100
9791158392666,20240626,1,9100
9791158392666,20240702,1,9100
9791158392666,20240708,2,18200
9791158392666,20240716,1,9100
9791158392666,20240722,1,8450
9791158392666,20240724,3,27300
9791158392666,20240725,1,9100
9791158392666,20240726,1,8450
9791158392666,20240813,1,8450
9791158392666,20240816,1,8450
9791158392666,20240827,1,8450
9791158392666,20240902,1,9100
9791158392666,20240909,6,54600
9791158392666,20241007,1,9100
9791158392666,20241015,1,8450
9791158392666,20241023,1,8450
9791158392666,20241029,4,33800
9791158392666,20241101,1,9100
9791158392666,20241105,13,110500
9791158392666,20241113,1,9100
9791158392666,20241121,1,9100
9791158392666,20241122,1,8450
9791158392666,20241126,1,8450
9791158392666,20241203,1,9100
9791158392666,20241213,1,8450
9791158392666,20241216,1,9100
9791158392666,20241218,1,8450
9791158392666,20241231,1,9100
9791158392666,20250103,1,8450
9791158392666,20250123,1,8450
9791158392666,20250204,1,9100
9791158392666,20250207,1,9100
9791158392666,20250213,51,464100
9791158392666,20250214,2,18200
9791158392666,20250220,2,18200
9791158392666,20250304,5,42250
9791158392666,20250310,1,9100
9791158392666,20250324,1,8450
9791158392666,20250331,1,9100
9791158392666,20250410,1,8450
9791158392666,20250415,1,9100
9791158392666,20250421,2,16900
9791158392666,20250527,1,8450
9791158392666,20250613,1,8450
9791158392666,20250630,1,8450
9791158392673,20240102,2,20250
9791158392673,20240104,1,9750
9791158392673,20240105,2,19500
9791158392673,20240116,1,9750
9791158392673,20240126,1,10500
9791158392673,20240129,1,10500
9791158392673,20240201,2,21000
9791158392673,20240202,3,30000
9791158392673,20240205,2,21000
9791158392673,20240206,1,9750
9791158392673,20240213,3,29250
9791158392673,20240214,1,9750
9791158392673,20240216,1,9750
9791158392673,20240221,1,9750
9791158392673,20240226,1,9750
9791158392673,20240305,1,9750
9791158392673,20240307,1,9750
9791158392673,20240311,2,21000
9791158392673,20240312,1,9750
9791158392673,20240314,1,9750
9791158392673,20240315,2,21000
9791158392673,20240318,4,42000
9791158392673,20240320,2,19500
9791158392673,20240321,1,10500
9791158392673,20240322,1,10500
9791158392673,20240403,4,39000
9791158392673,20240404,2,21000
9791158392673,20240405,17,165750
9791158392673,20240409,1,10500
9791158392673,20240415,29,301500
9791158392673,20240416,4,42000
9791158392673,20240419,3,29250
9791158392673,20240425,2,19500
9791158392673,20240429,28,273000
9791158392673,20240503,53,517500
9791158392673,20240510,1,10500
9791158392673,20240520,2,19500
9791158392673,20240522,4,39000
9791158392673,20240528,10,105000
9791158392673,20240529,6,58500
9791158392673,20240611,20,198000
9791158392673,20240618,2,19500
9791158392673,20240619,1,9750
9791158392673,20240626,1,9750
9791158392673,20240709,2,19500
9791158392673,20240710,55,536250
9791158392673,20240711,2,19500
9791158392673,20240712,1,10500
9791158392673,20240715,2,20250
9791158392673,20240716,1,10500
9791158392673,20240717,2,19500
9791158392673,20240719,1,9750
9791158392673,20240725,15,157500
9791158392673,20240726,2,19500
9791158392673,20240805,1,9750
9791158392673,20240813,1,9750
9791158392673,20240814,1,11250
9791158392673,20240816,1,9750
9791158392673,20240821,10,105000
9791158392673,20240904,1,9750
9791158392673,20240905,2,19500
9791158392673,20240906,1,9750
9791158392673,20240910,3,29250
9791158392673,20240919,23,224250
9791158392673,20240923,2,19500
9791158392673,20240924,2,19500
9791158392673,20241002,1,9750
9791158392673,20241004,1,0
9791158392673,20241010,1,9750
9791158392673,20241015,1,9750
9791158392673,20241016,6,58500
9791158392673,20241017,1,9750
9791158392673,20241023,2,19500
9791158392673,20241029,7,68250
9791158392673,20241104,1,9750
9791158392673,20241105,11,108000
9791158392673,20241106,2,19500
9791158392673,20241107,3,29250
9791158392673,20241108,3,31500
9791158392673,20241113,1,10500
9791158392673,20241202,1,9750
9791158392673,20241203,1,9750
9791158392673,20241218,2,19500
9791158392673,20241223,1,9750
9791158392673,20250103,2,19500
9791158392673,20250108,1,9750
9791158392673,20250113,1,9750
9791158392673,20250123,1,9750
9791158392673,20250204,1,9750
9791158392673,20250307,1,9750
9791158392673,20250326,1,9750
9791158392673,20250408,3,31500
9791158392673,20250410,2,19500
9791158392673,20250415,1,10500
9791158392673,20250423,1,9750
9791158392673,20250429,1,9750
9791158392673,20250502,1,9750
9791158392673,20250507,1,9750
9791158392673,20250515,2,19500
9791158392673,20250527,1,9750
9791158392673,20250602,2,19500
9791158392673,20250613,4,41250
9791158392673,20250625,2,19500
9791158392673,20250626,2,19500
9791158392994,20240109,1,15600
9791158392994,20240213,2,31200
9791158392994,20240216,1,15600
9791158392994,20240226,1,15600
9791158392994,20240229,2,31200
9791158392994,20240304,1,15600
9791158392994,20240306,1,15600
9791158392994,20240308,1,15600
9791158392994,20240314,1,15600
9791158392994,20240315,2,31200
9791158392994,20240402,1,15600
9791158392994,20240403,2,31200
9791158392994,20240404,1,15600
9791158392994,20240408,1,16800
9791158392994,20240508,1,15600
9791158392994,20240513,1,16800
9791158392994,20240516,5,84000
9791158392994,20240521,1,16800
9791158392994,20240524,1,15600
9791158392994,20240528,10,168000
9791158392994,20240529,1,16800
9791158392994,20240531,1,15600
9791158392994,20240603,1,16800
9791158392994,20240607,1,15600
9791158392994,20240619,2,31200
9791158392994,20240708,2,33600
9791158392994,20240715,1,16800
9791158392994,20240717,2,31200
9791158392994,20240719,11,184800
9791158392994,20240725,4,67200
9791158392994,20240726,2,31200
9791158392994,20240808,1,15600
9791158392994,20240813,1,15600
9791158392994,20240827,1,15600
9791158392994,20240830,1,15600
9791158392994,20240920,1,15600
9791158392994,20241105,2,31200
9791158392994,20241202,2,31200
9791158392994,20241218,1,15600
9791158392994,20241223,1,15600
9791158392994,20250123,1,15600
9791158392994,20250131,3,48000
9791158392994,20250201,1,15600
9791158392994,20250203,4,63600
9791158392994,20250204,1,15600
9791158392994,20250311,1,15600
9791158392994,20250331,1,16800
9791158392994,20250415,1,16800
9791158392994,20250423,1,15600
9791158392994,20250523,6,100800
9791158392994,20250527,1,15600
9791158392994,20250604,1,15600
9791158392994,20250605,1,15600
9791158392994,20250609,1,15600
9791158392994,20250612,1,16800
9791158392994,20250616,1,16800
9791158392994,20250623,1,15600
9791158393014,20240102,6,105000
9791158393014,20240108,1,16250
9791158393014,20240124,1,16250
9791158393014,20240125,1,17500
9791158393014,20240223,1,17500
9791158393014,20240226,2,35000
9791158393014,20240227,2,35000
9791158393014,20240228,2,35000
9791158393014,20240313,2,32500
9791158393014,20240325,17,260000
9791158393014,20240404,1,16250
9791158393014,20240405,1,17500
9791158393014,20240614,21,350000
9791158393014,20240621,1,17500
9791158393014,20240704,1,0
9791158393014,20240719,6,105000
9791158393014,20240926,1,16250
9791158393014,20241023,1,17500
9791158393014,20241112,1,16250
9791158393014,20250110,1,16250
9791158393014,20250117,1,16250
9791158393014,20250123,1,16250
9791158393014,20250124,1,16250
9791158393014,20250307,1,17500
9791158393014,20250401,1,16250
9791158393014,20250421,1,16250
9791158393014,20250428,1,16250
9791158393014,20250613,1,16250
