거래일시,출금,입금,거래내용
2024-01-02 11:47:09,0 ,19600 ,(주)가람디엠씨
2024-01-03 10:46:33,0 ,294000 ,(주)가람디엠씨
2024-01-04 10:09:36,0 ,12600 ,(주)가람디엠씨
2024-01-05 11:27:03,0 ,14000 ,(주)가람디엠씨
2024-01-10 11:22:19,0 ,18900 ,(주)가람디엠씨
2024-01-11 11:07:05,0 ,51800 ,(주)가람디엠씨
2024-01-11 11:07:06,0 ,33600 ,(주)가람디엠씨
2024-01-18 09:48:20,0 ,19600 ,(주)가람디엠씨
2024-01-18 11:29:42,0 ,14000 ,(주)가람디엠씨
2024-01-19 10:17:02,0 ,14000 ,(주)가람디엠씨
2024-01-22 11:11:09,0 ,14000 ,(주)가람디엠씨
2024-01-23 10:05:56,0 ,401800 ,(주)가람디엠씨
2024-01-24 09:40:42,0 ,259000 ,(주)가람디엠씨
2024-01-24 12:07:11,0 ,294000 ,(주)가람디엠씨
2024-01-24 12:07:12,0 ,30100 ,(주)가람디엠씨
2024-01-25 09:25:33,0 ,138600 ,(주)가람디엠씨
2024-01-25 10:55:34,0 ,63000 ,(주)가람디엠씨
2024-01-25 10:55:35,0 ,12600 ,(주)가람디엠씨
2024-01-26 09:56:04,0 ,71400 ,(주)가람디엠씨
2024-01-26 09:56:05,0 ,56000 ,(주)가람디엠씨
2024-01-29 11:23:07,0 ,316400 ,(주)가람디엠씨
2024-01-29 11:23:08,0 ,529200 ,(주)가람디엠씨
2024-01-29 11:28:19,0 ,126000 ,(주)가람디엠씨
2024-01-29 11:28:22,0 ,75600 ,(주)가람디엠씨
2024-01-30 09:43:31,0 ,54600 ,(주)가람디엠씨
2024-01-30 11:05:49,0 ,63000 ,(주)가람디엠씨
2024-01-31 11:05:01,0 ,14000 ,(주)가람디엠씨
2024-01-31 11:05:02,0 ,14000 ,(주)가람디엠씨
2024-01-31 11:05:03,0 ,63000 ,(주)가람디엠씨
2024-01-02 10:51:20,0 ,18900 ,(주)글로리아북
2024-01-05 11:49:15,0 ,39200 ,(주)글로리아북
2024-01-09 11:49:47,0 ,31500 ,(주)글로리아북
2024-01-18 11:50:12,0 ,39200 ,(주)글로리아북
2024-01-04 11:31:29,0 ,14300 ,(주)세연도서
2024-01-08 10:38:59,0 ,14300 ,(주)세연도서
2024-01-16 09:45:39,0 ,536250 ,(주)세연도서
2024-01-17 10:44:42,0 ,298350 ,(주)세연도서
2024-01-19 09:59:44,0 ,371800 ,(주)세연도서
2024-01-25 10:23:17,0 ,16250 ,(주)세연도서
2024-01-09 15:35:25,132000 ,0 ,(주)세정기획
2024-01-10 12:32:36,0 ,22400 ,(주)유민북스
2024-01-10 14:25:45,0 ,22400 ,(주)유민북스
2024-01-03 10:01:54,0 ,18900 ,(주)인성재단
2024-01-10 09:06:50,0 ,19600 ,(주)인성재단
2024-01-22 10:41:35,0 ,12600 ,（주）책이랑
2024-01-31 10:58:54,0 ,14000 ,（주）책이랑
2024-01-05 11:23:38,0 ,60900 ,(주)처용이포유
2024-01-09 15:40:24,0 ,51800 ,㈜학술정보
2024-01-02 10:33:53,0 ,44100 ,강산북스
2024-01-03 10:33:49,0 ,22400 ,강산북스
2024-01-08 10:28:21,0 ,43400 ,강산북스
2024-01-12 10:28:26,0 ,21000 ,강산북스
2024-01-19 10:26:51,0 ,12600 ,강산북스
2024-01-22 10:29:15,0 ,61600 ,강산북스
2024-01-23 10:28:16,0 ,137200 ,강산북스
2024-01-24 10:30:54,0 ,879200 ,강산북스
2024-01-26 10:27:50,0 ,19600 ,강산북스
2024-01-03 09:01:36,0 ,122500 ,강원대학교생활협동조
2024-01-05 14:02:00,0 ,49000 ,강원대학교생활협동조
2024-01-24 23:47:36,0 ,44800 ,고석매(교원문화사)
2024-01-08 10:57:39,0 ,448000 ,광주조은서림
2024-01-05 12:08:40,0 ,585000 ,비전북스
2024-01-08 11:29:57,0 ,764400 ,비전북스
2024-01-10 12:23:13,0 ,491400 ,비전북스
2024-01-17 12:47:52,0 ,48750 ,비전북스
2024-01-19 11:36:42,0 ,18200 ,비전북스
2024-01-23 13:12:12,0 ,295750 ,비전북스
2024-01-25 11:48:03,0 ,527800 ,비전북스
2024-01-29 11:36:04,0 ,22750 ,비전북스
2024-01-08 08:42:41,0 ,26600 ,김대형(북메이커)
2024-01-08 09:59:40,0 ,17500 ,김영길(세미문고)
2024-01-05 11:02:44,0 ,18900 ,김오태(경제서적)
2024-01-18 09:22:00,0 ,14000 ,김주완
2024-01-17 17:41:52,0 ,262500 ,대구북앤북스
2024-01-26 09:43:14,0 ,132300 ,대구에듀플러스
2024-01-09 13:06:20,0 ,42000 ,대전대서점
2024-01-16 15:47:33,0 ,19600 ,대전대서점
2024-01-02 10:11:05,0 ,35000 ,디엠도서유통주식회사
2024-01-05 09:50:32,0 ,366900 ,디엠도서유통주식회사
2024-01-08 10:10:30,0 ,84200 ,디엠도서유통주식회사
2024-01-09 09:59:36,0 ,22400 ,디엠도서유통주식회사
2024-01-10 09:58:42,0 ,961800 ,디엠도서유통주식회사
2024-01-10 11:36:01,0 ,167200 ,디엠도서유통주식회사
2024-01-15 10:03:58,0 ,16200 ,디엠도서유통주식회사
2024-01-16 09:55:07,0 ,12600 ,디엠도서유통주식회사
2024-01-17 09:59:45,0 ,15400 ,디엠도서유통주식회사
2024-01-18 09:49:45,0 ,32200 ,디엠도서유통주식회사
2024-01-19 10:09:28,0 ,77000 ,디엠도서유통주식회사
2024-01-22 10:13:26,0 ,53200 ,디엠도서유통주식회사
2024-01-23 09:51:18,0 ,67200 ,디엠도서유통주식회사
2024-01-25 10:05:15,0 ,900900 ,디엠도서유통주식회사
2024-01-29 10:04:28,0 ,358000 ,디엠도서유통주식회사
2024-01-31 09:47:24,0 ,256400 ,디엠도서유통주식회사
2024-01-24 11:06:13,0 ,18200 ,마산학문당
2024-01-10 10:37:06,0 ,151200 ,미래도서
2024-01-12 10:19:21,0 ,264600 ,미래도서
2024-01-19 10:48:17,0 ,294000 ,미래도서
2024-01-25 10:39:00,0 ,49000 ,미래도서
2024-01-29 11:03:09,0 ,25200 ,미래도서
2024-01-17 11:40:35,0 ,18200 ,미래도서대전
2024-01-22 16:16:08,0 ,17500 ,미래도서대전
2024-01-05 10:13:17,0 ,158200 ,백두도서
2024-01-08 11:41:17,0 ,87500 ,백두도서
2024-01-11 13:01:15,0 ,245000 ,백두도서
2024-01-11 13:01:16,0 ,140000 ,백두도서
2024-01-15 14:04:55,0 ,450800 ,백두도서
2024-01-17 10:28:20,0 ,29400 ,백두도서
2024-01-24 17:03:40,0 ,372400 ,보연도서
2024-01-09 11:03:18,0 ,19600 ,북센
