년,월,지역,지수
2020,6,전국,77.489382
2020,6,서울,77.788336
2020,6,강북14개구,76.256539
2020,6,종로구,85.576901
2020,6,중구,81.435072
2020,6,용산구,80.592768
2020,6,성동구,80.643149
2020,6,광진구,82.881702
2020,6,동대문구,79.179496
2020,6,중랑구,77.720305
2020,6,성북구,77.561442
2020,6,강북구,75.126538
2020,6,도봉구,73.238653
2020,6,노원구,68.953693
2020,6,은평구,76.967347
2020,6,서대문구,82.395088
2020,6,마포구,78.572883
2020,6,강남11개구,79.167288
2020,6,양천구,80.801879
2020,6,강서구,75.554921
2020,6,구로구,75.351744
2020,6,금천구,81.68215
2020,6,영등포구,79.144828
2020,6,동작구,77.797499
2020,6,관악구,80.769749
2020,6,서초구,80.568189
2020,6,강남구,81.775477
2020,6,송파구,78.514283
2020,6,강동구,80.66333
2020,6,수도권,73.313131
2020,6,6개광역시,78.932356
2020,6,5개광역시,81.03136
2020,6,기타지방,84.59898
2020,6,부산,78.508562
2020,6,중구,97.116401
2020,6,서구,92.475473
2020,6,동구,89.997575
2020,6,영도구,86.205024
2020,6,부산진구,81.355694
2020,6,동래구,79.365179
2020,6,남구,78.224618
2020,6,북구,83.264084
2020,6,해운대구,65.616141
2020,6,사하구,82.980392
2020,6,금정구,80.288782
2020,6,강서구,79.850746
2020,6,연제구,79.937688
2020,6,수영구,75.150713
2020,6,사상구,88.336572
2020,6,기장군,77.354182
2020,6,대구,83.758517
2020,6,중구,84.59593
2020,6,동구,89.037077
2020,6,서구,87.303685
2020,6,남구,85.489994
2020,6,북구,88.420085
2020,6,수성구,81.427562
2020,6,달서구,78.030179
2020,6,달성군,88.501886
2020,6,인천,72.129711
2020,6,중구,79.457263
2020,6,동구,77.311322
2020,6,미추홀구,80.805515
2020,6,연수구,64.6559
2020,6,남동구,74.49639
2020,6,부평구,71.707387
2020,6,계양구,71.272112
2020,6,서구,72.115818
2020,6,강화군,0.0
2020,6,광주,84.897319
2020,6,동구,94.966546
2020,6,서구,87.375166
2020,6,남구,85.947122
2020,6,북구,85.15759
2020,6,광산구,80.909105
2020,6,대전,77.718737
2020,6,동구,82.304501
2020,6,중구,80.588072
2020,6,서구,76.336345
2020,6,유성구,76.398081
2020,6,대덕구,76.938956
2020,6,울산,82.256363
2020,6,중구,83.863896
2020,6,남구,77.955981
2020,6,동구,86.373073
2020,6,북구,82.163959
2020,6,울주군,86.067794
2020,6,세종,70.230266
2020,6,경기,71.091581
2020,6,수원시,69.625898
2020,6,수원시 장안구,69.251174
2020,6,수원시 권선구,69.41205
2020,6,수원시 팔달구,73.544877
2020,6,수원시 영통구,68.858089
2020,6,성남시,76.60422
2020,6,성남시 수정구,77.184289
2020,6,성남시 중원구,76.582633
2020,6,성남시 분당구,76.511384
2020,6,의정부시,67.318701
2020,6,안양시,72.988587
2020,6,안양시 만안구,76.900032
2020,6,안양시 동안구,71.193753
2020,6,부천시,71.231419
2020,6,부천시 원미구,0.0
2020,6,부천시 소사구,0.0
2020,6,부천시 오정구,0.0
2020,6,광명시,73.90662
2020,6,평택시,72.257331
2020,6,동두천시,72.369056
2020,6,안산시,71.658131
2020,6,안산시 상록구,72.064433
2020,6,안산시 단원구,71.35173
2020,6,고양시,67.401256
2020,6,고양시 덕양구,64.546701
2020,6,고양시 일산동구,68.760934
2020,6,고양시 일산서구,70.174605
2020,6,과천시,83.485735
2020,6,구리시,75.584377
2020,6,남양주시,66.941375
2020,6,오산시,64.136171
2020,6,시흥시,67.124313
2020,6,군포시,70.579324
2020,6,의왕시,67.136608
2020,6,하남시,78.623235
2020,6,용인시,74.047184
2020,6,용인시 처인구,73.362303
2020,6,용인시 기흥구,73.560782
2020,6,용인시 수지구,74.673286
2020,6,파주시,74.335152
2020,6,이천시,82.497954
2020,6,안성시,71.038342
2020,6,김포시,69.080833
2020,6,화성시,70.023578
2020,6,광주시,72.295065
2020,6,양주시,74.939579
2020,6,포천시,0.0
2020,6,여주시,0.0
2020,6,연천군,0.0
2020,6,가평군,0.0
2020,6,양평군,0.0
2020,6,충북,83.274455
2020,6,청주시,83.726512
2020,6,청주시 상당구,83.610441
2020,6,청주시 서원구,81.937006
2020,6,청주시 흥덕구,82.667333
2020,6,청주시 청원구,87.756527
2020,6,충주시,81.245446
2020,6,제천시,83.127225
2020,6,보은군,0.0
2020,6,옥천군,0.0
2020,6,영동군,0.0
2020,6,증평군,0.0
2020,6,진천군,0.0
2020,6,괴산군,0.0
2020,6,음성군,0.0
2020,6,단양군,0.0
2020,6,충남,84.217911
2020,6,천안시,83.954292
2020,6,천안시 동남구,85.436037
2020,6,천안시 서북구,83.031696
2020,6,공주시,77.977092
2020,6,보령시,0.0
2020,6,아산시,80.257746
2020,6,서산시,89.603325
2020,6,논산시,91.838682
2020,6,계룡시,75.54817
2020,6,당진시,99.090097
2020,6,금산군,0.0
2020,6,부여군,0.0
2020,6,서천군,0.0
2020,6,청양군,0.0
2020,6,홍성군,0.0
2020,6,예산군,0.0
2020,6,태안군,0.0
2020,6,전남,93.261155
2020,6,목포시,99.881307
2020,6,여수시,89.547017
2020,6,순천시,91.004051
2020,6,나주시,0.0
2020,6,광양시,93.967884
2020,6,담양군,0.0
2020,6,곡성군,0.0
2020,6,구례군,0.0
2020,6,고흥군,0.0
2020,6,보성군,0.0
2020,6,화순군,0.0
2020,6,장흥군,0.0
2020,6,강진군,0.0
2020,6,해남군,0.0
2020,6,영암군,0.0
2020,6,무안군,0.0
2020,6,함평군,0.0
2020,6,영광군,0.0
2020,6,장성군,0.0
2020,6,완도군,0.0
2020,6,진도군,0.0
2020,6,경북,85.368796
2020,6,포항시,82.033656
2020,6,포항시 남구,85.649327
2020,6,포항시 북구,80.220077
2020,6,경주시,0.0
2020,6,김천시,86.856342
2020,6,안동시,88.992989
2020,6,구미시,83.526702
2020,6,영주시,0.0
2020,6,영천시,0.0
2020,6,상주시,0.0
2020,6,문경시,0.0
2020,6,경산시,92.131174
2020,6,의성군,0.0
2020,6,영덕군,0.0
2020,6,청도군,0.0
2020,6,고령군,0.0
2020,6,성주군,0.0
2020,6,칠곡군,0.0
2020,6,예천군,0.0
2020,6,봉화군,0.0
2020,6,경남,85.133162
2020,6,창원시,83.3364
2020,6,창원시 의창구,83.381153
2020,6,창원시 성산구,78.284783
2020,6,창원시 마산합포구,86.065291
2020,6,창원시 마산회원구,89.282465
2020,6,창원시 진해구,85.323446
2020,6,진주시,89.14697
2020,6,통영시,94.738486
2020,6,사천시,0.0
2020,6,김해시,82.900545
2020,6,밀양시,0.0
2020,6,거제시,92.494027
2020,6,양산시,83.60764
2020,6,의령군,0.0
2020,6,함안군,0.0
2020,6,창녕군,0.0
2020,6,고성군,0.0
2020,6,남해군,0.0
2020,6,하동군,0.0
2020,6,산청군,0.0
2020,6,함양군,0.0
2020,6,거창군,0.0
2020,6,합천군,0.0
2020,6,제주,79.422843
2020,6,제주시,0.0
2020,6,서귀포시,0.0
2020,6,강원,82.463864
2020,6,춘천시,83.385888
2020,6,원주시,84.857923
2020,6,강릉시,76.781282
2020,6,동해시,0.0
2020,6,태백시,0.0
2020,6,속초시,0.0
2020,6,삼척시,0.0
2020,6,홍천군,0.0
2020,6,횡성군,0.0
2020,6,영월군,0.0
2020,6,평창군,0.0
2020,6,정선군,0.0
2020,6,철원군,0.0
2020,6,화천군,0.0
2020,6,양구군,0.0
2020,6,인제군,0.0
2020,6,고성군,0.0
2020,6,양양군,0.0
2020,6,전북,86.213502
2020,6,전주시,86.583453
2020,6,전주시 완산구,86.641837
2020,6,전주시 덕진구,86.508595
2020,6,군산시,80.403619
2020,6,익산시,91.762411
2020,6,정읍시,0.0
2020,6,남원시,0.0
2020,6,김제시,0.0
